product_code,name,category,supplier,selling_price,cost_price,unit,last_updated
6975073835948,Panda Cake,Bakery goods,,1.00,0.00,,
6975073836600,a1 banana bread,Bakery goods,,1.20,0.00,,
7622300335755,OREO Soft Cake,Bakery goods,,3.00,0.00,,
8886324061215,NSV WM,Bakery goods,,2.30,0.00,,
8886350000042,PRIMA Bread Flour,Kitchen essentials,,3.00,0.00,,
8888247101009,GARDENIA  600G,Bakery goods,,3.20,0.00,,
8888247111114,G W BREAD 400G,Bakery goods,,2.50,0.00,,
8888247111138,G Wholemeal 420G,Bakery goods,,3.10,0.00,,
8888599010424,K Bread Crumbs,Bakery goods,,2.20,0.00,,
9551019530527,BO Fruit Cake,Bakery goods,,3.50,0.00,,
9551019530534,BO Cheese,Bakery goods,,3.50,0.00,,
9551019530541,BO Pandan,Bakery goods,,3.50,0.00,,
9551019530558,BO Marble cake,Bakery goods,,3.50,0.00,,
9551019530831,BO Lemon Cake,Bakery goods,,1.70,0.00,,
9551019534136,BO Roti Cake,Bakery goods,,1.80,0.00,,
9555220108506,BO BUTTER CAKE,Bakery goods,,3.20,0.00,,
9555220701035,BO WHITEBREAD,Bakery goods,,2.10,0.00,,
9555220701448,BO REDBEAN 6s,Bakery goods,,2.20,0.00,,
9555220701455,BESTONE COCONUT BUN 6,Bakery goods,,2.20,0.00,,
9555220701462,BO KAYA 6s,Bakery goods,,2.20,0.00,,
9555220701479,BESTONE RAISIN BUN,Bakery goods,,2.20,0.00,,
9555220701967,BO Cream Roll,Bakery goods,,1.00,0.00,,
9555220702148,BESTONE STEAM SPONGE CAKE 200GM,Bakery goods,,1.50,0.00,,
9555220702308,BO BANANA CAKE,Bakery goods,,1.00,0.00,,
9555220702391,BO VANILLA MUFFIN,Bakery goods,,1.20,0.00,,
9555220702467,BO Strawberry,Bakery goods,,1.50,0.00,,
9555220702469,BO Peanut 3S,Bakery goods,,1.50,0.00,,
9555220702476,BO Kaya 3s,Bakery goods,,1.50,0.00,,
9555220702520,BO CHEESE CAKE 70G,Bakery goods,,1.50,0.00,,
9555220702650,BO ASST CAKE 130G,Bakery goods,,1.60,0.00,,
9555220702667,BO FRUIT CAKE 300G,Bakery goods,,3.20,0.00,,
9555220702681,BO Banana Muffin,Bakery goods,,3.20,0.00,,
9555220702834,BO SQUARE MUFFIN,Bakery goods,,1.00,0.00,,
9555220702933,BO B CupCake,Bakery goods,,1.30,0.00,,
9555220702940,BO Banana,Bakery goods,,1.30,0.00,,
9555220702964,BO Fruit Cake 4s,Bakery goods,,1.80,0.00,,
9555220702988,BO FRUITS CAKE 90G,Bakery goods,,1.30,0.00,,
9555220705279,Savoury Bun,Bakery goods,,1.80,0.00,,
9555220705477,BO Kaya Roll,Bakery goods,,2.00,0.00,,
9555220705507,BO RED BEANS 4S,Bakery goods,,1.70,0.00,,
9555220705514,BO ROTI CAKE 6S,Bakery goods,,2.20,0.00,,
9555220705699,BO Corn Cream Roll,Bakery goods,,2.00,0.00,,
9555220705798,BO Butter Cake,Bakery goods,,1.70,0.00,,
9555220705828,BO Chocolate Muffin,Bakery goods,,1.70,0.00,,
9555220706177,BO CREAM ROLLS,Bakery goods,,1.50,0.00,,
9555220706184,BO BUTTER SUGAR,Bakery goods,,1.50,0.00,,
9555220706382,BO RED BEAN BUN,Bakery goods,,1.00,0.00,,
